,NSE,BBG,BBG_Short,Reuters
61,L&TFH,LTFH IN Equity,LTFH ,LTFH
62,LICHSGFIN,LICHF IN Equity,LICHF ,LICH
63,LT,LT IN Equity,LT ,LART
64,LUPIN,LPC IN Equity,LPC ,LUPN
65,M&M,MM IN Equity,MM ,MAHM
66,M&MFIN,MMFS IN Equity,MMFS ,MMFS
67,MARICO,MRCO IN Equity,MRCO ,MRCO
68,MARUTI,MSIL IN Equity,MSIL ,MRTI
69,MINDTREE,MTCL IN Equity,MTCL ,MINT
70,MOTHERSUMI,MSS IN Equity,MSS ,MOSS
71,MRF,MRF IN Equity,MRF ,MRF
72,NMDC,NMDC IN Equity,NMDC ,NMDC
73,NTPC,NTPC IN Equity,NTPC ,NTPC
74,ONGC,ONGC IN Equity,ONGC ,ONGC
75,PAGEIND,PAG IN Equity,PAG ,PAGE
76,PETRONET,PLNG IN Equity,PLNG ,PLNG
77,PFC,POWF IN Equity,POWF ,PWFC
78,PIDILITIND,PIDI IN Equity,PIDI ,PIDI
79,PNB,PNB IN Equity,PNB ,PNBK
80,POWERGRID,PWGR IN Equity,PWGR ,PGRD
81,RECLTD,RECL IN Equity,RECL ,RECM
82,RELIANCE,RIL IN Equity,RIL ,RELI
83,SAIL,SAIL IN Equity,SAIL ,SAIL
84,SBIN,SBIN IN Equity,SBIN ,SBI
85,SIEMENS,SIEM IN Equity,SIEM ,SIEM
86,SRF,SRF IN Equity,SRF ,SRFL
87,SRTRANSFIN,SHTF IN Equity,SHTF ,SRTR
88,SUNPHARMA,SUNP IN Equity,SUNP ,SUN
89,SUNTV,SUNTV IN Equity,SUNTV ,SUTV
90,TATACHEM,TTCH IN Equity,TTCH ,TTCH
91,TATAMOTORS,TTMT IN Equity,TTMT ,TAMO
92,TATAPOWER,TPWR IN Equity,TPWR ,TTPW
93,TATASTEEL,TATA IN Equity,TATA ,TISC
94,TCS,TCS IN Equity,TCS ,TCS
95,TECHM,TECHM IN Equity,TECHM ,TEML
96,TITAN,TTAN IN Equity,TTAN ,TITN
97,TORNTPHARM,TRP IN Equity,TRP ,TORP
98,TVSMOTOR,TVSL IN Equity,TVSL ,TVSM
99,UBL,UBBL IN Equity,UBBL ,UBBW
100,ULTRACEMCO,UTCEM IN Equity,UTCEM ,ULTC
101,UPL,UPLL IN Equity,UPLL ,UPLL
102,VEDL,VEDL IN Equity,VEDL ,VDAN
103,VOLTAS,VOLT IN Equity,VOLT ,VOLT
104,WIPRO,WPRO IN Equity,WPRO ,WIPR
105,ZEEL,Z IN Equity,Z ,ZEE
106,AARTIIND,ARTO IN EQUITY,ARTO,ARTI
